Delitev,Model,Accuracy,ÄŒas (s),Test size,Random state,Datum
2x2,Logistic Regression,0.1069,1.017,0.2,42,2025-05-22 20:28:55
2x2,KNN (k=3),0.0875,1.305,0.2,42,2025-05-22 20:28:55
2x2,KNN (k=5),0.0994,1.383,0.2,42,2025-05-22 20:28:55
2x2,KNN (k=7),0.1072,1.435,0.2,42,2025-05-22 20:28:55
2x2,Decision Tree (depth=5),0.1095,0.371,0.2,42,2025-05-22 20:28:55
2x2,Decision Tree (depth=None),0.0834,1.803,0.2,42,2025-05-22 20:28:55
2x2,Random Forest,0.1156,38.717,0.2,42,2025-05-22 20:28:55
2x2,SVM Linear (C=1),0.1091,1893.21,0.2,42,2025-05-22 20:28:55
2x2,SVM Linear (C=10),0.1091,3569.605,0.2,42,2025-05-22 20:28:55
2x2,SVM RBF (gamma=scale),0.1462,2108.178,0.2,42,2025-05-22 20:28:55
2x2,SVM RBF (gamma=auto),0.1462,2069.269,0.2,42,2025-05-22 20:28:55
2x2,Naive Bayes,0.0918,0.118,0.2,42,2025-05-22 20:28:55
2x2,MLP (relu),0.1432,55.203,0.2,42,2025-05-22 20:28:55
2x2,MLP (tanh),0.1446,65.416,0.2,42,2025-05-22 20:28:55
2x2,Gradient Boosting,0.1433,580.779,0.2,42,2025-05-22 20:28:55
2x2,AdaBoost,0.0847,5.773,0.2,42,2025-05-22 20:28:55
